seed,method,risk_budget,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
1,recovery_first_policy,0.100000,48,0.597516,0.034595,0.070714,0.009858,0.145833,0.033162,0.100694,0.079459,0.166667,0.088076,0.211031,0.010572,0.216495,0.045428,0.259086,0.046504,0.774306,0.061890,0.840278,0.045577
1,recovery_first_policy,0.150000,48,0.613389,0.030451,0.072107,0.008393,0.156250,0.045001,0.090278,0.070110,0.163194,0.082238,0.211914,0.008322,0.201151,0.038591,0.275858,0.038496,0.781250,0.047804,0.861111,0.039309
1,risk_bounded_typed_disagreement_protocol_v5,0.000000,48,0.444703,0.039876,0.071824,0.009066,0.503472,0.062650,0.527778,0.105804,0.180556,0.091672,0.259852,0.007283,0.408227,0.035880,0.043682,0.041929,0.868056,0.041218,0.722222,0.068316
1,risk_bounded_typed_disagreement_protocol_v5,0.020000,48,0.485641,0.039519,0.078574,0.008417,0.527778,0.052678,0.517361,0.104412,0.131944,0.070110,0.247347,0.011144,0.357343,0.037659,0.094565,0.042192,0.802083,0.061250,0.795139,0.058552
1,risk_bounded_typed_disagreement_protocol_v5,0.050000,48,0.512545,0.042494,0.086541,0.009995,0.486111,0.062152,0.545139,0.102353,0.114583,0.065360,0.240941,0.012161,0.333550,0.040494,0.118358,0.043761,0.774306,0.071797,0.840278,0.063003
1,risk_bounded_typed_disagreement_protocol_v5,0.080000,48,0.541011,0.038554,0.089186,0.010010,0.520833,0.052939,0.597222,0.106916,0.100694,0.055653,0.237719,0.012683,0.298719,0.035601,0.153189,0.038955,0.760417,0.073372,0.885417,0.049744
1,risk_bounded_typed_disagreement_protocol_v5,0.100000,48,0.559804,0.029343,0.099611,0.008809,0.493056,0.059924,0.576389,0.106083,0.045139,0.034716,0.224771,0.015977,0.280047,0.032450,0.171861,0.033474,0.684028,0.096404,0.947917,0.024133
1,risk_bounded_typed_disagreement_protocol_v5,0.150000,48,0.589416,0.032276,0.102733,0.008969,0.493056,0.059924,0.597222,0.104681,0.031250,0.025094,0.221129,0.016132,0.246350,0.035718,0.205558,0.036905,0.680556,0.100060,0.986111,0.013170
1,robust_mpc_fallback,0.000000,48,0.231359,0.039485,0.030593,0.007727,0.131944,0.038855,0.097222,0.055732,0.225694,0.112796,0.241670,0.005977,0.616680,0.044133,-0.162475,0.044430,0.916667,0.030757,0.284722,0.057508
1,robust_mpc_fallback,0.020000,48,0.288009,0.040501,0.035048,0.006120,0.145833,0.043088,0.118056,0.064487,0.208333,0.105431,0.235989,0.006509,0.546589,0.046140,-0.091789,0.046305,0.909722,0.037618,0.375000,0.058762
1,robust_mpc_fallback,0.050000,48,0.376841,0.050010,0.051211,0.008539,0.156250,0.047056,0.131944,0.074047,0.187500,0.097567,0.220947,0.008243,0.449158,0.057153,0.006390,0.058976,0.857639,0.046635,0.531250,0.076990
1,robust_mpc_fallback,0.080000,48,0.442401,0.037722,0.066123,0.007805,0.142361,0.042385,0.166667,0.085348,0.159722,0.083646,0.206775,0.009061,0.380265,0.049373,0.075799,0.049105,0.795139,0.057739,0.652778,0.052227
1,robust_mpc_fallback,0.100000,48,0.489713,0.038994,0.073613,0.007770,0.166667,0.037670,0.173611,0.090700,0.131944,0.070781,0.200137,0.009717,0.326413,0.050551,0.129613,0.050174,0.774306,0.063400,0.736111,0.054877
1,robust_mpc_fallback,0.150000,48,0.545103,0.038457,0.095331,0.011850,0.107639,0.034374,0.201389,0.102915,0.121528,0.065780,0.182372,0.010878,0.280907,0.055482,0.175631,0.054539,0.687500,0.072541,0.854167,0.051121
1,typed_disagreement_protocol_v4,0.000000,48,0.382932,0.047248,0.043864,0.006701,0.489583,0.053633,0.468750,0.097582,0.225694,0.112376,0.270452,0.003843,0.445696,0.046258,0.006212,0.052039,0.972222,0.017758,0.586806,0.079011
1,typed_disagreement_protocol_v4,0.020000,48,0.403570,0.039291,0.049565,0.006669,0.468750,0.057259,0.479167,0.094614,0.194444,0.099824,0.262651,0.006709,0.421445,0.039724,0.030463,0.044177,0.934028,0.038588,0.635417,0.068539
